label,trial,gait
stand,1,1.000456e+01
stand,1,3.500683e+01
stand,1,6.000911e+01
stand,1,8.500228e+01
stand-walk,1,1.007819e+01
stand-walk,1,3.501303e+01
stand-walk,1,6.003475e+01
stand-walk,1,8.505647e+01
walk,1,1.002686e+01
walk,1,3.500448e+01
walk,1,6.007162e+01
walk,1,8.504924e+01
walk,1,1.006233e+01
walk,1,3.508459e+01
turn2,1,6.001781e+01
turn2,1,8.504007e+01
turn2,1,1.001789e+01
turn2,1,3.506261e+01
turn2,1,6.001789e+01
turn2,1,8.506261e+01
turn1,1,1.007130e+01
turn1,1,3.502674e+01
turn1,1,6.007130e+01
turn1,1,8.502674e+01
turn1,1,1.001927e+01
walk,1,3.506744e+01
walk,1,6.001927e+01
walk,1,8.506744e+01
walk,1,1.009615e+01
walk,1,3.509615e+01
walk,1,6.009615e+01
walk,1,8.509615e+01
walk,1,1.006524e+01
walk,1,3.504194e+01
walk,1,6.001864e+01
walk,1,8.508854e+01
walk-stand,1,1.000285e+01
walk-stand,1,3.502422e+01
stand,1,6.001710e+01
idle,1,8.500997e+01
idle,2,1.001098e+01
stand,2,3.501647e+01
stand,2,6.002195e+01
stand,2,8.500549e+01
stand-walk,2,1.003521e+01
stand-walk,2,3.503521e+01
stand-walk,2,6.003521e+01
stand-walk,2,8.503521e+01
walk,2,1.007130e+01
walk,2,3.502674e+01
walk,2,6.007130e+01
walk,2,8.502674e+01
walk,2,1.002639e+01
walk,2,3.500440e+01
turn2,2,6.007036e+01
turn2,2,8.504837e+01
turn2,2,1.006019e+01
turn2,2,3.508169e+01
turn2,2,6.001720e+01
turn2,2,8.503869e+01
turn1,2,1.005199e+01
turn1,2,3.500867e+01
turn1,2,6.005199e+01
turn1,2,8.500867e+01
turn1,2,1.009434e+01
walk,2,3.509434e+01
walk,2,6.009434e+01
walk,2,8.509434e+01
walk,2,1.001855e+01
walk,2,3.506494e+01
walk,2,6.001855e+01
walk,2,8.506494e+01
walk,2,1.005484e+01
walk,2,3.500914e+01
walk,2,6.005484e+01
walk,2,8.500914e+01
walk-stand,2,1.001629e+01
stand,2,3.501629e+01
stand,2,6.001629e+01
idle,2,8.501629e+01
stand,3,3.501333e+01
stand,3,6.001938e+01
stand,3,8.500121e+01
stand-walk,3,1.000863e+01
stand-walk,3,3.503020e+01
stand-walk,3,6.005177e+01
stand-walk,3,8.507334e+01
walk,3,1.001805e+01
walk,3,3.501805e+01
walk,3,6.001805e+01
walk,3,8.501805e+01
walk,3,1.001727e+01
walk,3,3.506045e+01
turn2,3,6.001727e+01
turn2,3,8.506045e+01
turn2,3,1.005025e+01
turn2,3,3.500838e+01
turn2,3,6.005025e+01
turn2,3,8.500838e+01
turn1,3,1.004329e+01
turn1,3,3.506494e+01
turn1,3,6.008658e+01
turn1,3,8.502165e+01
turn1,3,1.001821e+01
walk,3,3.506375e+01
walk,3,6.001821e+01
walk,3,8.506375e+01
walk,3,1.000918e+01
walk,3,3.507805e+01
walk,3,6.005510e+01
walk,3,8.503214e+01
walk,3,1.004444e+01
walk,3,3.502222e+01
walk,3,6.008889e+01
walk,3,8.506667e+01
walk-stand,3,1.000499e+01
stand,3,3.500499e+01
stand,3,6.000499e+01
idle,3,8.500499e+01
idle,4,1.000327e+01
stand,4,3.501144e+01
stand,4,6.001961e+01
stand,4,8.502779e+01
stand-walk,4,1.008249e+01
stand-walk,4,3.501375e+01
stand-walk,4,6.003666e+01
stand-walk,4,8.505958e+01
walk,4,1.007260e+01
walk,4,3.502722e+01
walk,4,6.007260e+01
walk,4,8.502722e+01
walk,4,1.009174e+01
walk,4,3.504587e+01
turn2,4,6.009174e+01
turn2,4,8.504587e+01
turn2,4,1.002686e+01
turn2,4,3.500448e+01
turn2,4,6.007162e+01
turn2,4,8.504924e+01
turn1,4,1.004566e+01
turn1,4,3.506849e+01
turn1,4,6.009132e+01
turn1,4,8.502283e+01
turn1,4,1.000981e+01
walk,4,3.503435e+01
walk,4,6.005888e+01
walk,4,8.508342e+01
walk,4,1.004831e+01
walk,4,3.507246e+01
walk,4,6.009662e+01
walk,4,8.502415e+01
walk,4,1.000953e+01
walk,4,3.508103e+01
walk,4,6.005720e+01
walk,4,8.503337e+01
walk-stand,4,1.002220e+01
walk-stand,4,3.501427e+01
stand,4,6.000634e+01
idle,4,8.503013e+01
stand,5,3.500586e+01
stand,5,6.002345e+01
stand,5,8.501758e+01
stand-walk,5,1.009174e+01
stand-walk,5,3.504587e+01
stand-walk,5,6.009174e+01
stand-walk,5,8.504587e+01
walk,5,1.005435e+01
walk,5,3.505435e+01
walk,5,6.005435e+01
walk,5,8.505435e+01
walk,5,1.006404e+01
walk,5,3.504117e+01
turn2,5,6.001830e+01
turn2,5,8.508692e+01
turn2,5,1.005291e+01
turn2,5,3.500882e+01
turn2,5,6.005291e+01
turn2,5,8.500882e+01
turn1,5,1.009091e+01
turn1,5,3.509091e+01
turn1,5,6.009091e+01
turn1,5,8.509091e+01
turn1,5,1.000972e+01
walk,5,3.508260e+01
walk,5,6.005831e+01
walk,5,8.503401e+01
walk,5,1.002838e+01
walk,5,3.500473e+01
walk,5,6.007569e+01
walk,5,8.505203e+01
walk,5,1.008403e+01
walk,5,3.501401e+01
walk,5,6.003735e+01
walk,5,8.506069e+01
walk-stand,5,1.001744e+01
stand,5,3.501121e+01
stand,5,6.000498e+01
stand,5,8.502367e+01
