feat_3,feat_12,feat_33,feat_155,feat_187,feat_245,feat_37,feat_5,feat_19,feat_180,feat_185,feat_255,feat_189,feat_149,feat_230,feat_175,feat_145,feat_254,feat_39,feat_169,feat_164,feat_213,feat_107,feat_194,feat_163,feat_198,feat_229,feat_205,feat_18,feat_223,feat_139,feat_25,feat_36,feat_40,feat_127,feat_190,feat_210,feat_28,feat_158,feat_13,feat_15,feat_150,feat_250,feat_20,feat_144,feat_239,feat_218,feat_209
0.023727,1.172091,0.355665,0.034360,0.077876,0.374891,-0.972258,0.017963,-0.389296,0.001320,0.025087,0.320431,-0.066359,-0.218683,0.010232,0.001202,0.001495,12.581724,-1.146803,0.499750,-1.025481,-5.825505,-1.269873,-2.000655,-1.113249,0.222524,0.291464,0.007013,-0.466926,-12.996316,0.244491,0.039366,203.064701,0.871896,-1.067299,0.006670,0.002039,1.291252,-1.693426,1.117557,0.020778,0.000273,0.472152,0.016315,0.354596,0.336563,-0.358168,0.034090
-0.002107,1.231231,0.708571,0.034360,0.018834,0.374891,-1.053986,0.052102,-0.375444,0.000286,0.025087,0.320431,0.030351,-0.219606,0.004972,0.000817,0.000454,7.935451,-1.358544,0.499986,-0.656997,-3.544892,-1.230658,-1.269075,-0.744765,0.222229,0.273399,0.002408,-0.502316,-8.383655,0.243499,0.032588,363.791915,1.052665,-1.065295,0.006670,0.000791,1.136259,-1.160452,1.203976,0.012232,0.000275,0.472152,0.031232,0.352026,0.272580,-0.164136,0.034457
0.015404,1.232126,0.620341,0.027495,0.117852,0.299988,-0.960647,0.035470,-0.433724,0.001653,0.020074,0.256408,0.127061,-0.219436,0.025659,0.002614,0.000904,3.067400,-1.129467,0.499686,-0.288513,-1.155420,-1.188652,-0.537494,-0.358692,0.219724,0.314725,0.012199,-0.482023,-3.550820,0.243627,0.038099,257.743600,0.868643,-1.174353,0.005337,0.002816,1.479683,-0.602037,1.191288,0.014725,0.000367,0.377816,0.012449,0.355157,0.319866,0.039157,0.039072
0.013599,1.243760,0.589860,0.000668,0.177068,0.015596,-0.987803,0.011686,-0.383866,0.001029,0.008377,0.010268,0.180600,-0.201494,0.007259,0.002561,0.001370,-0.083959,-1.226418,0.500520,-0.105202,0.377925,-1.085085,-0.174337,-0.109143,0.224277,0.327798,0.004232,-0.492817,-0.412779,0.269683,0.031993,251.037494,0.990998,-0.961404,0.000948,0.002385,1.424400,-0.240136,1.220034,0.012885,0.000797,0.040075,0.028769,0.357796,0.679047,0.155360,-0.100112
0.127555,0.733239,2.384495,0.113371,0.389649,0.274816,-1.502778,0.431381,0.245669,0.099616,0.285416,0.274749,0.649815,0.433966,0.339830,0.199048,0.150403,-0.163469,-1.583378,0.824629,-0.067208,-0.090620,-1.645224,0.240284,-0.766951,-0.219739,0.636610,0.145016,-0.724867,-0.850304,0.500352,0.276128,817.439192,1.418598,-1.527465,0.160290,0.137985,1.787099,-0.580303,-0.740836,0.551415,0.145492,0.491140,0.243910,1.141749,0.617888,-0.690468,0.243504
0.127555,0.501952,0.727926,0.216037,0.427189,0.244164,-1.592737,0.415287,0.944576,0.174893,0.319260,0.387036,0.649815,0.433966,0.377517,0.251500,0.190653,0.417696,-1.751211,0.824629,0.816211,-0.090620,-1.706918,0.510710,-0.766951,-0.219739,0.661762,0.159809,-0.724867,-0.777126,0.500352,0.402740,353.866645,1.481935,-1.389800,0.460420,0.159524,1.708146,-0.660105,-0.873478,0.560435,0.174147,0.417714,0.614333,1.141749,0.535045,-0.690468,0.278819
0.097459,0.263809,0.624460,0.349073,0.414435,0.316021,-1.713608,0.264838,0.944576,0.203351,0.303146,0.353993,0.739955,1.780714,0.224052,0.329167,0.422121,0.981823,-2.168281,1.305478,0.803581,-0.771036,-1.781167,0.463307,-0.973778,-0.727629,0.489938,0.344315,0.548507,-0.639532,0.485418,0.238040,245.738430,1.842841,-1.248611,0.430910,0.250968,1.692651,-0.646007,-0.528999,0.248211,0.432030,0.501828,0.109250,1.637252,0.673025,-0.266582,0.769000
0.257402,0.354607,2.818280,0.167805,0.354627,0.422632,-1.457471,0.406790,0.749067,0.062539,0.259576,0.451834,0.623878,-0.000422,0.308995,0.194819,0.129011,0.981823,-1.587493,1.305478,-0.062597,-0.194814,-1.721262,-0.130128,-0.383593,-0.248305,0.838802,0.318914,-0.659575,-0.977314,0.287970,0.323516,1026.517200,1.366937,-1.305764,0.087161,0.089562,1.518982,-0.295285,0.115983,0.218524,0.024568,0.422815,0.451780,1.151712,0.643279,0.246081,0.082137
-0.976596,0.524277,2.345719,0.281690,0.442353,0.349352,-1.683010,0.852021,0.322156,0.104919,0.249175,0.373230,0.847096,0.783747,0.427967,0.273081,0.270902,0.076999,-1.905966,0.813699,0.149493,-0.102317,-1.725622,0.214029,-1.453739,-0.173891,0.838802,0.289746,-1.036293,-1.280026,0.448057,0.390686,1051.978956,1.486105,-1.470501,0.169664,0.203171,1.543598,-0.869512,-0.812029,0.451914,0.220657,0.676155,0.408672,1.390334,0.820602,-0.927292,0.565980
-0.976596,0.608446,0.876923,0.410435,0.587959,0.354281,-1.555147,0.647386,1.011156,0.175768,0.336982,0.450597,0.847096,0.783747,0.450249,0.348751,0.310408,0.937565,-1.770469,0.903590,0.869699,-0.261841,-1.567942,0.763327,-1.453739,-0.173891,0.786621,0.304979,-1.036293,-1.280026,0.533137,0.697911,428.871211,1.410965,-1.252004,0.629767,0.283733,1.430245,-0.979028,-1.110313,0.632042,0.235542,0.605619,0.772490,1.390334,0.810951,-0.927292,0.565980
-0.466692,0.504511,0.730460,0.434086,0.587481,0.454644,-1.670150,0.352777,1.011156,0.313893,0.364465,0.581026,0.944626,1.859076,0.333762,0.434292,0.365938,0.988706,-1.858478,1.194694,0.869699,-1.000106,-1.861154,0.728004,-0.965985,-1.499108,0.729758,0.509507,0.466084,-1.200403,1.666094,0.229578,287.246726,1.541204,-1.462556,0.624379,0.475988,1.239169,-0.910822,-0.572603,0.377640,0.444098,0.500103,0.145137,1.363018,1.356672,-0.604521,1.317556
-0.460823,0.494040,2.420106,0.251629,0.401980,0.435382,-1.285328,0.504828,0.713725,0.073416,0.262897,0.376858,0.765699,0.519114,0.440822,0.204447,0.134888,0.554315,-1.312494,1.194694,-0.080738,-0.521520,-1.679600,-0.097271,-0.741474,-0.506123,1.066163,0.437746,-0.737861,-0.917843,0.308770,0.463339,944.824355,1.116962,-1.327856,0.125645,0.201249,1.382220,-0.275669,0.220913,0.236624,0.094729,0.523079,0.469411,0.904222,0.712689,0.166053,0.111360
-1.259791,0.634152,2.427349,0.394255,0.497068,0.461611,-0.951803,0.841293,0.158771,0.151214,0.410223,0.285925,0.957116,1.237552,0.448765,0.317157,0.290970,0.039604,-0.315605,0.978797,-0.098551,0.067877,-1.606075,0.003171,-1.653084,-0.365482,1.066163,0.225573,-1.180628,-1.396107,0.454707,0.516441,1168.633255,0.283186,-1.673764,0.194213,0.292198,1.550413,-0.968240,-1.115032,0.574804,0.258794,0.488272,0.370814,1.628602,1.338367,-1.073415,0.673560
-1.259791,0.763688,0.899478,0.474546,0.610421,0.589033,-1.593782,0.797700,0.975321,0.228915,0.511060,0.466731,0.957116,1.237552,0.416762,0.366989,0.321900,0.647979,-1.716562,1.034271,0.985221,-0.287226,-1.526881,0.753197,-1.653084,-0.365482,0.807552,0.310628,-1.180628,-1.396107,0.463932,0.992840,465.072791,1.383678,-1.451267,0.653539,0.352946,1.630242,-0.969904,-1.426488,0.714923,0.284477,0.508067,0.816871,1.628602,1.338367,-1.095145,0.673560
-0.281599,0.503038,0.608166,0.376974,0.551820,0.319027,-1.460614,0.439387,0.975321,0.319752,0.222087,0.270978,0.769808,1.071736,0.458741,0.327885,0.265037,0.762613,-1.593684,0.987132,0.985221,-0.625118,-1.749256,0.752605,-0.707926,-0.761342,1.057297,0.499436,0.272458,-1.525906,0.912544,0.413050,266.217136,1.407032,-1.662476,0.589638,0.391858,1.038615,-0.870825,-1.070195,0.486961,0.339252,0.569030,0.227940,1.181249,1.177513,-0.379264,0.804980
