label,trial,gait
idle,1,3.506944e+01
idle,1,6.006944e+01
idle,1,8.506944e+01
walk-rampascent,1,1.008101e+01
walk-rampascent,1,3.501350e+01
walk-rampascent,1,6.003600e+01
walk-rampascent,1,8.505851e+01
rampascent,1,1.005803e+01
rampascent,1,3.500967e+01
rampascent,1,6.005803e+01
rampascent,1,8.500967e+01
rampascent,1,1.001927e+01
rampascent,1,3.506744e+01
rampascent,1,6.001927e+01
rampascent,1,8.506744e+01
rampascent-walk,1,1.004975e+01
rampascent-walk,1,3.502488e+01
rampascent-walk,1,6.009950e+01
rampascent-walk,1,8.507463e+01
idle,1,1.006369e+01
idle,1,3.503185e+01
idle,1,6.006369e+01
idle,1,8.503185e+01
idle,1,1.000752e+01
idle,1,3.506396e+01
idle,1,6.004515e+01
idle,1,8.502634e+01
idle,1,1.005747e+01
idle,1,3.505747e+01
idle,1,6.005747e+01
idle,1,8.505747e+01
walk-rampdescent,1,1.001001e+01
walk-rampdescent,1,3.503504e+01
walk-rampdescent,1,6.006006e+01
walk-rampdescent,1,8.508509e+01
rampdescent,1,1.000981e+01
rampdescent,1,3.503435e+01
rampdescent,1,6.005888e+01
rampdescent,1,8.508342e+01
rampdescent,1,1.001011e+01
rampdescent,1,3.508595e+01
rampdescent,1,6.006067e+01
rampdescent,1,8.503539e+01
rampdescent-walk,1,1.005386e+01
rampdescent-walk,1,3.500898e+01
rampdescent-walk,1,6.005386e+01
rampdescent-walk,1,8.500898e+01
idle,1,1.014199e+01
idle,1,3.509128e+01
idle,1,6.004057e+01
idle,1,8.519270e+01
idle,2,3.501048e+01
idle,2,6.006289e+01
idle,2,8.501048e+01
walk-rampascent,2,1.006776e+01
walk-rampascent,2,3.504356e+01
walk-rampascent,2,6.001936e+01
walk-rampascent,2,8.509197e+01
rampascent,2,1.007121e+01
rampascent,2,3.509664e+01
rampascent,2,6.002035e+01
rampascent,2,8.504578e+01
rampascent,2,1.000991e+01
rampascent,2,3.508424e+01
rampascent,2,6.005946e+01
rampascent,2,8.503469e+01
rampascent-walk,2,1.002786e+01
rampascent-walk,2,3.500464e+01
rampascent-walk,2,6.007428e+01
rampascent-walk,2,8.505107e+01
idle,2,1.000720e+01
idle,2,3.506120e+01
idle,2,6.004320e+01
idle,2,8.502520e+01
idle,2,1.002538e+01
idle,2,3.502538e+01
idle,2,6.002538e+01
idle,2,8.502538e+01
idle,2,1.005535e+01
idle,2,3.505535e+01
idle,2,6.005535e+01
idle,2,8.505535e+01
walk-rampdescent,2,1.003937e+01
walk-rampdescent,2,3.503937e+01
walk-rampdescent,2,6.003937e+01
walk-rampdescent,2,8.503937e+01
rampdescent,2,1.001965e+01
rampdescent,2,3.506876e+01
rampdescent,2,6.001965e+01
rampdescent,2,8.506876e+01
rampdescent,2,1.009804e+01
rampdescent,2,3.509804e+01
rampdescent,2,6.009804e+01
