feat_187,feat_240,feat_239,feat_227,feat_67,feat_159,feat_233,feat_5,feat_228,feat_230,feat_3,feat_14,feat_248,feat_217,feat_250,feat_73,feat_158,feat_170,feat_107,feat_242,feat_222,feat_197,feat_255,feat_204,feat_244,feat_147,feat_180,feat_15,feat_143,feat_13,feat_219,feat_168,feat_237,feat_149,feat_109,feat_246,feat_160,feat_205,feat_169,feat_138,feat_220,feat_23,feat_10,feat_153,feat_155,feat_249,feat_189,feat_140,feat_203,feat_218,feat_173,feat_214,feat_178,feat_198,feat_148,feat_164,feat_25,feat_254,feat_174,feat_108,feat_195,feat_183,feat_139,feat_235,feat_175,feat_144,feat_229,feat_172,feat_190,feat_177
0.074706,0.038172,1.007432,0.432163,-0.981249,-0.230390,-0.156645,0.130406,0.381391,0.028949,0.867435,0.417232,-0.458536,0.047592,0.188166,0.660648,-0.353311,0.025656,-1.354309,0.087568,0.417357,0.257410,0.103593,-0.119537,0.043557,0.201221,0.020839,0.119520,0.353241,0.067144,0.111825,0.468665,0.917018,-0.143555,-1.216673,-0.040640,0.040725,0.078084,0.583471,0.234386,0.049511,-0.677137,0.101579,-0.068837,0.048061,0.164078,0.192738,0.026270,-0.422603,-0.081765,0.126081,0.400575,-0.211231,0.229931,-0.241306,0.090976,0.077716,0.156956,0.195986,1.289394,0.054181,0.035735,0.357907,0.033226,0.015824,0.449572,0.516970,0.156600,0.070987,0.168171
0.316789,0.173036,1.221478,0.361594,-1.666841,0.155154,-0.429531,0.165084,-0.035349,0.156898,0.400360,0.368028,-1.124436,0.390801,0.386286,2.242429,-0.259318,0.238847,-1.815020,0.154735,0.219492,0.283914,0.293297,0.968210,0.599073,0.228684,0.080771,0.051137,-0.004425,0.174320,0.631765,-0.592485,0.985087,0.496981,-1.883830,0.393399,0.092564,0.470431,0.871627,0.028549,0.231082,-0.733388,0.307830,-0.529896,0.139639,0.350811,0.455644,0.054125,-1.283371,-0.626497,-0.062789,1.710579,-0.366711,-0.560855,-0.443635,-0.030525,0.115015,0.661486,0.568716,2.070243,0.065175,-0.288034,0.353294,0.282963,0.134616,0.946350,0.532204,0.202767,0.066271,0.218818
0.258114,0.123610,1.153199,0.552946,-1.165604,-0.173618,0.166328,0.216518,0.419641,0.127881,0.986291,0.768387,-0.299014,0.508628,0.313132,1.224498,-0.255322,0.013796,-1.106624,0.157918,0.466908,0.228572,0.258725,0.123711,0.354577,0.192850,0.020741,0.126402,0.235577,0.342709,0.566269,0.442180,0.977639,-0.183598,-0.826826,0.232618,0.021385,0.116258,0.583466,0.246986,0.033903,-0.187480,0.158674,-0.093375,0.046402,1.097938,0.304330,0.004461,-0.331161,0.449863,0.090789,0.754640,-0.372446,0.210679,-0.232207,-0.060959,0.147003,0.393765,0.493999,0.896387,0.022200,0.075352,0.282231,0.093862,0.063868,0.440602,1.853722,0.241221,0.014361,0.276866
0.434066,0.531428,1.528594,0.286907,-1.103387,0.539132,-0.492486,0.864636,-0.195807,0.238681,-0.586484,0.825582,-0.252809,0.487692,0.609294,0.963158,-0.209147,0.137821,-1.635655,0.207628,0.638199,0.117683,0.414328,0.277873,0.540729,0.242408,0.106039,0.601016,0.062779,-1.223902,0.567500,0.201293,0.779920,-0.090732,-1.516182,-0.075823,0.221698,0.168107,0.859815,-0.266958,0.503865,-0.746067,0.886480,-0.340963,0.185688,1.880343,0.777489,0.157128,-0.423002,-0.718860,-0.037482,0.849234,-0.657846,-0.015873,-0.580576,-0.082254,0.432610,-0.142459,0.673897,1.648210,0.126405,0.238762,0.326580,0.322005,0.158493,0.625373,0.600364,0.221803,0.167973,0.339394
0.485997,0.105886,0.774396,0.406901,-1.096942,0.114207,-0.283477,0.614247,0.097855,0.180668,-0.586484,0.038137,-0.252809,0.451918,0.228356,0.837300,-0.798417,0.263185,-1.611895,0.123891,0.242431,0.254696,0.204275,-0.022825,0.166103,0.225605,0.100402,0.548145,0.099782,-1.822085,-0.077532,0.260352,0.502956,-0.032216,-1.547394,-0.207456,0.267047,0.080714,1.047199,-0.204587,0.233876,-1.535934,0.507489,-0.170469,0.178477,0.457819,0.777069,0.125498,-0.364070,-0.719895,-0.049037,0.463543,-0.652605,0.021480,-0.350863,0.673908,0.297367,0.384885,0.245843,1.715092,0.351964,-0.185718,0.363921,0.062604,0.080942,0.625373,0.665693,0.118211,0.489637,0.334091
0.359294,0.373076,1.115771,0.218583,-1.662208,0.154349,-0.455839,0.229739,-0.222856,0.176196,0.137273,0.395147,-0.937284,0.443900,0.422894,2.089013,-0.550080,0.130664,-1.721605,0.212590,0.256594,0.265039,0.278416,0.477508,0.254631,0.286149,0.155890,0.104919,-0.505316,0.044870,0.688857,-0.006861,0.631873,0.460989,-1.520991,0.037428,0.155212,0.282696,0.721386,-0.200425,0.191315,-1.546959,0.246953,-1.035499,0.207513,1.069197,0.533946,0.126619,-0.759223,0.003048,-0.664093,0.718479,-0.471459,-0.057737,-0.513949,0.198089,0.335728,0.997041,0.937722,1.777484,0.162233,-0.191662,0.462655,0.281854,0.266496,1.053069,0.456473,0.239672,0.197857,0.287052
0.280246,0.186456,1.017144,0.540596,-1.296219,-0.129912,-0.003676,0.176122,0.335411,0.182333,1.040477,0.884440,-1.113440,0.653368,0.381460,1.262883,-0.263344,0.026540,-1.399601,0.175690,0.538805,0.222159,0.244056,0.093436,0.309383,0.183876,0.028458,0.211319,0.313948,0.244511,0.705065,0.422720,0.705116,-0.167784,-1.060600,-0.059614,0.029267,0.064763,0.549788,0.283454,0.031781,-0.475040,0.461567,-0.047091,0.026671,0.516773,0.330289,0.004390,-0.134503,0.563086,0.136960,0.723747,-0.313408,0.161038,-0.198010,-0.090514,0.305642,0.094581,0.468599,1.236767,0.016977,0.159692,0.304880,0.090933,0.057366,0.408841,1.958052,0.281616,0.022300,0.243462
0.385286,0.392869,1.352179,0.336016,-1.087451,0.581604,-0.355822,0.881670,-0.186657,0.268133,-0.673149,0.960173,-0.616373,0.463848,0.493232,0.821256,-0.657474,0.103380,-1.732041,0.195843,0.708912,0.132964,0.419905,0.225549,0.233375,0.194780,0.057540,0.559503,0.018653,-0.865505,0.666632,0.239274,0.749010,0.372668,-1.728910,-0.374951,0.321234,0.179138,0.695710,-0.131582,0.486032,-0.619083,0.983063,-0.421526,0.173172,1.396037,0.595312,0.116524,-0.536165,-0.737111,-0.019234,0.687958,-0.425207,0.020708,-0.362153,-0.102635,0.421093,0.572931,0.619331,1.770583,0.148119,-0.098703,0.305257,0.272273,0.111632,0.699618,1.958052,0.250355,0.100771,0.266939
0.334966,0.211958,0.961061,0.443017,-0.992563,0.238493,-0.196886,0.616492,0.215097,0.098306,-0.673149,0.183426,-0.470666,0.432856,0.292332,0.696016,-0.765785,0.119095,-1.647058,0.262241,0.233350,0.246350,0.379988,0.036012,0.298098,0.228769,0.077732,0.405727,0.140880,-1.140643,-0.007447,0.353870,0.678480,0.372668,-1.501928,0.298098,0.229976,0.089878,0.752683,-0.035566,0.244154,-1.538890,0.427302,0.067871,0.086233,0.479409,0.564109,0.077884,-0.459741,-0.738132,-0.055499,0.460908,-0.426157,0.034681,-0.382634,0.636670,0.428691,0.692952,0.408435,1.669837,0.318222,-0.150957,0.305257,0.086575,0.104674,0.699618,0.703391,0.104692,0.324407,0.313790
0.342338,0.477111,1.416339,0.304117,-1.433088,0.204968,-0.559486,0.172243,-0.366292,0.284316,0.341604,0.273330,-0.012927,0.369510,0.447771,1.608410,-0.433605,0.249857,-1.964664,0.414509,0.264913,0.297090,0.227599,0.861160,1.030116,0.274499,0.109444,0.133309,-0.127786,-0.127926,0.722804,-0.625476,0.817280,0.521832,-1.859272,0.173190,0.114000,0.356094,0.855380,0.053080,0.300360,-1.571617,0.338531,-0.654816,0.215488,2.012867,0.593833,0.086037,-1.094227,-0.266195,-0.375064,1.032556,-0.408306,-0.278854,-0.442799,-0.072292,0.265547,0.400517,1.045600,2.218756,0.181101,-0.233452,0.420165,0.344039,0.201424,0.645202,0.703391,0.190791,0.168455,0.260522
