feat_19,feat_5,feat_13,feat_157,feat_244,feat_200,feat_14,feat_20,feat_197,feat_234,feat_205,feat_153,feat_158,feat_173,feat_187,feat_169,feat_16,feat_246,feat_2,feat_189,feat_4,feat_109,feat_249,feat_178,feat_3,feat_8,feat_148,feat_7,feat_225,feat_222,feat_155,feat_183,feat_139,feat_108,feat_12,feat_144,feat_180,feat_199,feat_177,feat_188,feat_21,feat_140,feat_218,feat_25,feat_233,feat_209,feat_10,feat_170,feat_242,feat_235,feat_168,feat_204,feat_138,feat_164,feat_210,feat_59,feat_175,feat_57,feat_15,feat_243,feat_145,feat_174,feat_84,feat_149,feat_219,feat_223,feat_240,feat_224,feat_86,feat_76,feat_73,feat_107,feat_193,feat_77,feat_83,feat_220,feat_78,feat_237,feat_239
1.314327,0.658482,-0.411604,0.340098,0.053791,0.152506,0.751845,0.220082,0.211768,-0.463030,0.167235,0.195433,-0.485186,-0.351751,0.213772,0.727032,0.738097,-0.320078,1.302151,0.593960,2.056314,-1.118456,0.376569,-0.280364,0.238827,-1.896009,-0.317994,1.235569,0.280340,0.257390,0.118395,-0.309132,0.410390,1.152043,0.345886,0.463410,0.100115,0.431370,0.140963,-0.185782,0.908288,0.159565,0.280818,0.541966,-0.702273,0.308015,0.553693,0.088191,0.163982,0.058737,0.291644,0.162123,-0.145726,0.494899,0.125453,-1.238507,0.094989,-1.544884,0.397367,-0.352053,0.127711,0.137804,121.000000,0.333313,0.740815,-0.301785,0.121428,0.709622,1412.981271,402.054407,1.220181,-1.289487,0.032158,-1.651944,4.048759,0.123789,1.901374,0.469833,0.828071
1.100684,0.382277,0.593062,0.223505,0.092368,0.324401,0.752786,0.271975,0.200748,0.207127,0.275430,-0.050478,-0.299227,-1.418666,0.431445,0.788679,0.752786,-0.398755,0.340212,0.622279,0.331880,-1.179210,0.477618,-0.300921,-0.916133,-0.645282,-0.317994,0.408388,0.111172,0.352098,0.157775,-1.054543,1.421241,1.376252,0.662865,1.302820,0.241918,0.554443,0.181079,0.195815,0.140580,0.267400,-0.011148,0.317145,-0.944920,0.379994,0.120879,0.240764,0.397767,0.366562,-0.723566,0.632393,-0.546216,0.319941,0.201338,-1.791924,0.353427,-1.738398,0.048435,-0.964433,0.258894,0.658329,115.000000,0.866536,0.780093,-0.551902,0.414669,-0.017211,1000.236619,670.230057,2.429810,-1.422807,-0.165039,-1.406389,2.809493,0.202297,1.759056,0.335555,1.114129
0.221966,0.199802,0.670814,0.268672,0.115351,0.108592,1.193136,0.075965,0.098383,0.143468,0.082594,0.329523,-0.286734,-0.031307,0.340079,0.571146,1.140621,-0.094551,0.390952,0.461499,0.914225,-1.122529,0.521131,-0.146218,0.079873,-0.951251,-0.035926,0.630860,0.095122,0.417752,0.079096,0.077837,0.153714,1.244450,1.014233,0.226714,0.029175,0.292817,0.089695,0.255570,-0.055115,0.006389,0.255125,0.124806,-0.344210,0.336857,0.116619,0.022647,0.206462,0.125084,0.464311,-0.187317,0.104851,0.129376,0.088928,-0.906703,0.051753,-1.127610,0.177411,-0.666915,0.017323,0.209934,125.000000,-0.010475,0.851136,-0.545631,0.124408,-0.228023,290.018320,173.075708,0.505587,-1.323333,-0.084143,-1.027216,0.739904,0.149020,1.078469,0.269249,0.557597
1.419064,0.552523,-1.569298,0.271882,0.562835,0.450414,1.193136,0.414641,0.424398,0.368948,0.319275,-0.185988,-0.568642,-0.403594,0.603434,0.786608,-1.569298,0.385208,0.625495,1.073872,1.031449,-1.458635,0.726854,-0.713843,-0.697014,-1.269381,-0.338486,0.655417,0.603145,0.454391,0.207905,-0.151722,0.334033,1.571377,0.908757,1.093015,0.174265,0.339046,0.181835,0.370055,1.419064,0.271397,-0.612174,0.535772,-0.520199,0.912891,0.529177,0.252455,0.233880,0.235494,-0.327046,1.117754,-1.006329,0.602191,0.212765,-0.911534,0.363514,-1.087887,0.792714,-0.526004,0.241919,1.490007,141.000000,0.269787,0.849113,-0.391255,0.332765,2.054219,509.588565,172.143144,0.384022,-1.653391,-0.521533,-1.529785,1.392273,0.320339,1.483365,0.281617,0.557597
2.605417,1.129529,-2.091727,0.498688,0.562835,0.687875,0.406772,0.711413,0.625012,-0.135159,0.340087,-1.434529,-0.817553,-0.442215,0.459864,1.179215,-0.730305,-0.158611,1.474308,1.073872,2.384496,-1.103201,0.404492,-0.924842,-0.697014,-2.407035,-0.426535,1.353750,0.637476,0.602564,0.368400,-0.800701,0.488357,1.346072,1.282028,1.255434,0.261851,1.178370,0.345641,-0.483784,2.053404,0.397687,-0.612174,0.404119,-0.694410,0.912891,1.010999,0.424105,0.270289,0.145589,-0.862651,1.174343,-1.526025,0.767435,0.204571,-1.527507,0.502485,-1.706351,0.676575,-0.452116,0.339642,2.031786,101.000000,1.506866,0.806426,-0.582783,0.240109,2.054219,1197.807941,302.010939,0.808273,-1.695403,-0.521533,-1.886491,4.467684,0.316259,1.891718,0.190693,0.429805
2.235188,0.152645,-0.886013,0.264795,0.296578,0.436788,0.167697,0.474177,0.286914,0.150676,0.292277,-1.434529,-0.699111,-2.998363,0.297396,1.348016,0.167697,-0.391977,1.771706,0.705691,2.015859,-1.431673,0.397008,-0.924842,1.414805,-2.160506,-0.391565,1.886937,0.123863,0.492138,0.280784,-0.602213,0.870278,1.634850,0.423001,1.255434,0.169436,0.686427,0.257894,0.177658,0.703972,0.299432,-0.122036,0.403714,-0.960088,1.259655,0.242055,0.584535,0.413440,0.274834,-2.572921,1.185659,-1.526025,0.228197,0.335072,-2.009767,0.689463,-1.919566,0.321478,-0.768962,0.306470,2.031786,94.000000,1.506866,0.967197,-0.606865,0.277064,0.134185,1625.753683,1277.176445,5.137128,-1.592401,-0.818779,-1.793266,5.140872,0.244766,2.149150,0.282091,0.429805
0.853541,0.146812,0.062643,0.263662,0.170327,0.041281,0.931441,0.271532,0.048309,0.094268,0.043295,0.287266,-0.280128,-0.061808,0.255537,0.580679,0.927792,0.075584,1.750137,0.398713,2.015859,-0.589597,0.353534,-0.185212,1.529475,-1.894175,-0.057151,1.357959,0.055571,0.446139,0.094318,0.193668,0.134663,0.711523,0.582789,0.265822,0.022061,0.120299,0.134673,0.196410,-0.118908,0.005813,0.602693,0.205995,-0.384429,0.293798,0.202162,0.016699,0.175889,0.138003,0.507797,-0.150905,0.107842,0.102903,0.080322,-0.418101,0.058879,-1.093185,0.270560,-0.747403,0.026530,0.245516,124.000000,-0.007373,0.967197,-0.496127,0.100999,-0.287296,737.462788,520.580373,1.792827,-0.958145,-0.021470,-1.203284,2.162015,0.075379,1.160725,0.099223,0.266307
1.122025,0.500272,-1.293171,0.232230,0.505704,0.390657,0.952269,0.340369,0.334612,0.344152,0.210545,-0.311149,-0.280128,-0.294070,0.546377,0.731623,-1.293171,-0.019746,1.257663,0.975548,1.707950,-1.683695,0.490280,-0.706642,0.327345,-1.395836,-0.185306,0.922757,0.542196,0.468595,0.177483,0.013912,0.164467,1.846008,0.753758,0.868153,0.149858,0.152938,0.174493,0.256329,1.122025,0.214506,0.052107,1.016433,-0.471537,0.795155,0.405604,0.221824,0.188809,0.197802,-0.080493,0.509986,-0.832750,0.075823,0.210026,-1.112164,0.202325,-1.182668,0.641167,-0.726578,0.155700,0.819011,160.000000,0.528730,0.850414,-0.460349,0.224934,1.340198,574.727164,278.246117,0.665369,-1.819681,-0.669717,-1.095731,1.317533,0.187512,0.898615,0.199159,0.300549
2.451906,0.764070,-1.939189,0.446206,0.505704,0.615863,0.742689,0.857871,0.524629,0.010782,0.228432,-0.311149,-0.789296,-0.351917,0.467360,1.066879,-0.946363,-0.266942,1.442015,0.975548,2.445424,-1.175614,0.366424,-0.706642,0.327345,-2.168893,-0.582484,1.204137,0.425985,0.505160,0.238677,-0.673928,0.428288,1.514592,1.182004,0.868153,0.228667,0.897502,0.266562,-0.403217,2.270103,0.277344,-0.076333,0.357767,-0.530908,0.795155,0.725422,0.383694,0.217091,0.135436,-0.080493,0.509986,-0.832750,0.796932,0.223829,-0.961687,0.227850,-1.176780,0.809078,-0.404846,0.254112,0.819011,118.000000,0.528730,0.691178,-0.332540,0.206006,1.340198,646.641518,210.754477,0.517282,-1.763078,-0.711644,-1.600038,1.708324,0.204908,1.721990,0.158515,0.332256
2.451906,0.207683,-1.390147,0.319758,0.160748,0.512453,-0.016744,0.454426,0.406728,0.121937,0.205674,-0.954924,-0.675223,-1.061110,0.287713,1.288044,-0.016744,-0.367546,2.052608,0.665736,2.445424,-1.686342,0.616784,-1.198110,1.639772,-2.474539,-0.582484,2.106471,0.164489,0.463432,0.259241,-0.333240,0.693261,1.864088,0.718187,1.077593,0.248686,0.863849,0.380611,-0.338313,0.996849,0.342226,0.242136,0.250236,-0.724934,0.556041,0.257704,0.395393,0.383417,0.205190,-0.963070,0.725206,-1.834035,0.634667,0.199118,-1.931451,0.349408,-1.822809,0.350098,-0.689048,0.251724,1.327385,110.000000,1.449522,0.831066,-0.653557,0.288746,-0.111873,1533.310096,1263.281222,4.917974,-1.776744,-0.267257,-1.702627,4.431096,0.170797,2.091435,0.286615,0.332256
1.388893,0.220226,-0.382665,0.262851,-0.117605,0.057925,0.844869,0.334608,0.074983,0.121937,0.042779,0.424014,-0.274817,-0.203684,0.243528,0.602431,0.844750,-0.117605,1.496708,0.408027,1.924381,-1.219309,0.616784,-0.270953,1.223508,-2.272784,-0.016169,1.746488,0.073440,0.535704,0.036626,0.206432,0.141020,1.333090,0.446272,0.158039,0.034313,0.150977,0.167938,0.177253,0.172196,0.005044,0.520330,0.299756,-0.314811,0.525913,0.240856,0.024747,0.312444,0.108158,0.497411,-0.082007,0.116134,0.113326,0.134047,-1.565533,0.082767,-1.623959,0.370791,-0.612020,0.025956,0.228373,137.000000,0.026354,0.910320,-0.634954,0.163646,-0.362136,810.525808,484.854742,1.634757,-1.358411,-0.018093,-1.423400,2.204528,0.094706,1.691523,0.138328,0.235724
0.992593,0.564644,-0.932057,0.245231,0.322811,0.330402,0.844869,0.219453,0.326677,0.377261,0.133935,0.117802,-0.274817,-0.334200,0.493221,0.581569,-0.932057,0.315472,0.962147,0.858558,1.421669,-1.851966,0.641999,-0.465174,-0.193893,-1.842432,-0.126433,1.158690,0.507003,0.470448,0.092043,0.146795,0.171163,2.024215,0.616097,0.663648,0.095569,0.129166,0.194255,0.224379,0.992593,0.192500,-0.066167,0.443091,-0.619162,0.691579,0.624370,0.187196,0.195494,0.201908,0.044551,0.174582,-0.547838,0.078285,0.180006,-1.435466,0.213617,-1.383244,0.461311,-0.847931,0.109505,0.731626,161.000000,0.471557,0.940847,-0.569071,0.281083,0.964559,540.098647,224.374680,0.554053,-1.944620,-0.294272,-1.346009,1.187462,0.213789,1.531614,0.243170,0.235724
2.723241,0.871087,-2.087490,0.473068,0.322811,0.663106,0.721297,0.992670,0.583772,-0.126337,0.155401,-0.008363,-0.795174,-0.334200,0.495938,1.162343,-1.066709,-0.270374,1.136665,0.858558,2.232796,-1.895837,0.641999,-0.723980,-0.193893,-2.193352,-0.343560,1.097740,0.422207,0.565114,0.238515,-0.411681,0.419974,2.150566,1.193254,0.663648,0.216591,1.151440,0.258282,-0.526863,2.465610,0.279093,-0.066167,0.620769,-0.619162,0.691579,0.786797,0.396521,0.171767,0.105773,0.044551,0.174582,-0.547838,0.714025,0.202474,-1.048285,0.253746,-1.134921,0.920728,-0.733365,0.229154,0.731626,120.000000,0.471557,0.940847,-0.397632,0.225744,1.051345,686.891847,185.177566,0.418903,-2.044657,-0.534333,-1.663472,2.095551,0.215478,1.678479,0.216244,0.255601
2.723241,0.237035,-1.738555,0.344307,-0.026459,0.593106,0.011870,0.604172,0.494697,0.148724,0.311533,-0.371408,-0.802235,-3.717478,0.336357,1.199170,0.011870,-0.415988,1.659798,0.743331,2.220903,-1.010708,0.210061,-1.163719,1.322039,-2.193352,-0.491575,1.554184,0.222460,0.514250,0.245600,-0.734234,0.836542,1.261005,0.722034,2.266204,0.265760,1.149512,0.401626,-0.525585,0.715305,0.384881,-0.260320,0.480672,-0.877409,0.996977,0.268712,0.565498,0.453671,0.254555,-2.339119,1.185593,-1.674377,0.714025,0.252596,-1.931854,0.879643,-1.820227,0.452679,-0.706650,0.403037,3.328316,101.000000,0.801181,0.763225,-0.812804,0.259690,0.016560,1237.833820,1043.858461,3.987879,-1.450958,-0.894805,-1.771654,3.765894,0.212233,2.191195,0.206989,0.255601
1.214378,0.124568,-0.305073,0.237191,0.722323,0.067898,0.510328,0.339684,0.060799,0.148724,0.074431,0.404733,-0.271461,-0.294429,0.328547,0.609628,0.489511,0.722323,1.364068,0.412684,1.584469,-1.119970,0.343406,-0.275764,1.187214,-1.700512,-0.026053,1.514813,0.135677,0.483217,0.039531,-0.179527,0.142397,1.223101,0.317448,0.149555,0.029680,0.321616,0.192227,0.250275,0.070896,0.010130,0.381530,0.076875,-0.561211,0.410492,0.099857,0.027901,0.357813,0.170416,0.480456,-0.079406,0.082790,0.137876,0.136363,-0.831885,0.091480,-1.292440,0.256444,-0.673022,0.030390,0.283372,107.000000,0.059122,0.773184,-0.654640,0.208029,-0.281391,587.259700,366.367668,1.116524,-1.282299,0.050704,-1.471286,1.666861,0.060770,1.751652,0.162529,0.373147
0.637630,0.294737,-0.762205,0.203625,2.285378,0.208515,0.510328,0.163051,0.155722,-0.129613,0.171954,0.404733,-0.444436,-0.387495,0.441301,0.943459,-0.762205,1.243423,1.117653,0.604657,1.383670,-1.379417,0.614184,-0.374149,0.395168,-1.577200,-0.112553,1.308595,0.341390,0.312028,0.273276,0.148365,0.164221,1.451157,0.408887,0.565781,0.049073,0.130939,0.213271,0.296283,0.637630,0.068224,-0.020460,0.239400,-1.094629,0.517726,0.272836,0.175531,0.809957,0.208216,0.148974,0.028659,-0.146735,0.124750,0.281480,-1.447104,0.137903,-1.581732,0.372019,-0.416636,0.113467,0.634215,144.000000,0.245645,0.839695,-0.498878,0.267994,0.528672,507.713431,302.187775,0.746487,-1.607933,0.050704,-1.406534,1.133011,0.164581,1.656562,0.235662,0.447477
