label,trial,gait
idle,1,3.506869e+01
idle,1,6.001446e+01
idle,1,8.503254e+01
walk-stairascent,1,1.008130e+01
walk-stairascent,1,3.504065e+01
walk-stairascent,1,6.008130e+01
walk-stairascent,1,8.504065e+01
stairascent,1,1.001541e+01
stairascent,1,3.505393e+01
stairascent,1,6.001541e+01
stairascent,1,8.505393e+01
stairascent-walk,1,1.000637e+01
stairascent-walk,1,3.505417e+01
stairascent-walk,1,6.003824e+01
stairascent-walk,1,8.502231e+01
idle,1,1.002353e+01
idle,1,3.501176e+01
idle,1,6.004706e+01
idle,1,8.503529e+01
idle,1,1.002088e+01
idle,1,3.507307e+01
idle,1,6.002088e+01
idle,1,8.507307e+01
idle,1,1.008065e+01
idle,1,3.508065e+01
idle,1,6.008065e+01
idle,1,8.508065e+01
idle,1,1.002639e+01
idle,1,3.502639e+01
idle,1,6.002639e+01
idle,1,8.502639e+01
walk-stairdescent,1,1.004367e+01
walk-stairdescent,1,3.502183e+01
walk-stairdescent,1,6.008734e+01
walk-stairdescent,1,8.506550e+01
stairdescent,1,1.000814e+01
stairdescent,1,3.506916e+01
stairdescent,1,6.004882e+01
stairdescent,1,8.502848e+01
stairdescent-walk,1,1.006547e+01
stairdescent-walk,1,3.502455e+01
stairdescent-walk,1,6.006547e+01
stairdescent-walk,1,8.502455e+01
idle,1,1.008264e+01
idle,1,3.504132e+01
idle,1,6.016529e+01
idle,1,8.512397e+01
idle,2,3.501219e+01
idle,2,6.003249e+01
idle,2,8.505280e+01
walk-stairascent,2,1.003160e+01
walk-stairascent,2,3.507109e+01
walk-stairascent,2,6.003160e+01
walk-stairascent,2,8.507109e+01
stairascent,2,1.003831e+01
stairascent,2,3.501916e+01
stairascent,2,6.007663e+01
stairascent,2,8.505747e+01
stairascent-walk,2,1.002845e+01
stairascent-walk,2,3.506401e+01
stairascent-walk,2,6.002845e+01
stairascent-walk,2,8.506401e+01
idle,2,1.000550e+01
idle,2,3.501924e+01
idle,2,6.003299e+01
idle,2,8.504673e+01
idle,2,1.005831e+01
idle,2,3.513120e+01
idle,2,6.005831e+01
idle,2,8.513120e+01
idle,2,1.004685e+01
idle,2,3.503384e+01
idle,2,6.002082e+01
idle,2,8.500781e+01
idle,2,1.004431e+01
idle,2,3.500739e+01
idle,2,6.004431e+01
idle,2,8.500739e+01
walk-stairdescent,2,1.006178e+01
walk-stairdescent,2,3.503972e+01
walk-stairdescent,2,6.001765e+01
walk-stairdescent,2,8.508385e+01
stairdescent,2,1.001629e+01
stairdescent,2,3.501629e+01
stairdescent,2,6.001629e+01
stairdescent,2,8.501629e+01
stairdescent-walk,2,1.002729e+01
stairdescent-walk,2,3.506139e+01
stairdescent-walk,2,6.002729e+01
stairdescent-walk,2,8.506139e+01
idle,2,1.016548e+01
idle,2,3.522459e+01
idle,2,6.004728e+01
idle,2,8.510638e+01
idle,3,3.504847e+01
idle,3,6.002983e+01
idle,3,8.501119e+01
walk-stairascent,3,1.003135e+01
walk-stairascent,3,3.503135e+01
walk-stairascent,3,6.003135e+01
walk-stairascent,3,8.503135e+01
stairascent,3,1.003636e+01
stairascent,3,3.505455e+01
stairascent,3,6.007273e+01
stairascent,3,8.501818e+01
stairascent-walk,3,1.005025e+01
stairascent-walk,3,3.503230e+01
stairascent-walk,3,6.001436e+01
stairascent-walk,3,8.506820e+01
idle,3,1.006250e+01
idle,3,3.506250e+01
idle,3,6.006250e+01
idle,3,8.506250e+01
idle,3,1.005128e+01
idle,3,3.507692e+01
idle,3,6.010256e+01
idle,3,8.502564e+01
idle,3,1.003086e+01
