Subject,Model,OverallAccuracy,SteadyStateAccuracy,TransitionAccuracy
ab07,LDA,71.882951653944,73.3144073811214,59.5092024539877
ab07,SVM,72.4554707379135,73.7402413058907,61.3496932515337
ab07,RF,77.2264631043257,79.7728885734564,55.2147239263804
ab07,DBN,72.7099236641221,74.804826117814,54.601226993865
ab08,LDA,74.3093922651934,75.9433962264151,62.5
ab08,SVM,74.0331491712707,76.2578616352201,57.9545454545455
ab08,RF,73.8950276243094,78.6163522012579,39.7727272727273
ab08,DBN,73.3425414364641,76.2578616352201,52.2727272727273
ab09,LDA,62.2501427755568,63.7341772151899,48.5380116959064
ab09,SVM,63.906339234723,65.0632911392405,53.2163742690059
ab09,RF,64.4203312392918,68.4177215189873,27.4853801169591
ab09,DBN,65.2769845802399,66.8987341772152,50.2923976608187
ab12,LDA,69.2898272552783,68.8489208633093,72.8323699421965
ab12,SVM,70.1215611004479,70.5035971223022,67.0520231213873
ab12,RF,73.576455534229,76.1870503597122,52.6011560693642
ab12,DBN,69.4817658349328,69.4244604316547,69.9421965317919
ab13,LDA,67.722918201916,68.7707641196013,59.4771241830065
ab13,SVM,70.3758290346352,70.6810631229236,67.9738562091503
ab13,RF,69.5652173913043,72.1760797342193,49.0196078431373
ab13,DBN,70.3021370670597,71.1794019933555,63.3986928104575
ab14,LDA,76.6713091922006,76.1229314420804,80.8383233532934
ab14,SVM,77.8551532033426,76.98975571316,84.4311377245509
ab14,RF,81.2674094707521,81.5602836879433,79.0419161676647
ab14,DBN,76.8105849582173,76.2805358550039,80.8383233532934
ab17,LDA,68.2800345721694,69.1033138401559,61.8320610687023
ab17,SVM,69.7493517718237,69.6881091617934,70.2290076335878
ab17,RF,71.4779602420052,73.2943469785575,57.2519083969466
ab17,DBN,69.1443388072602,70.3703703703704,59.5419847328244
ab18,LDA,75,74.9803921568627,75.1515151515151
ab18,SVM,78.6111111111111,78.1960784313726,81.8181818181818
ab18,RF,83.0555555555556,84.4705882352941,72.1212121212121
ab18,DBN,75.4166666666667,75.2941176470588,76.3636363636364
ab19,LDA,71.0415412402167,72.6666666666667,55.9006211180124
ab19,SVM,72.787477423239,74.2,59.6273291925466
ab19,RF,77.423239012643,80.8666666666667,45.3416149068323
ab19,DBN,74.5936183022276,75.6,65.2173913043478
ab20,LDA,65.1866151866152,66.6666666666667,53.6723163841808
ab20,SVM,69.4980694980695,70.7334785766158,59.8870056497175
ab20,RF,70.8494208494209,73.9288307915759,46.8926553672316
ab20,DBN,67.6319176319176,69.5715323166304,52.5423728813559
ab21,LDA,68.4456304202802,68.8922610015175,65.1933701657459
ab21,SVM,71.314209472982,71.3201820940819,71.2707182320442
ab21,RF,74.5163442294863,76.7830045523521,58.0110497237569
ab21,DBN,71.314209472982,71.8512898330804,67.4033149171271
ab23,LDA,71.4563106796116,71.9768283852281,67.0731707317073
ab23,SVM,76.0517799352751,76.1766835626358,75
ab23,RF,77.1521035598706,79.0731354091238,60.9756097560976
ab23,DBN,73.915857605178,74.3664011585807,70.1219512195122
ab24,LDA,77.0661157024793,78.494623655914,64.6666666666667
ab24,SVM,80.0964187327824,80.568356374808,76
ab24,RF,83.5399449035813,85.7142857142857,64.6666666666667
ab24,DBN,79.1322314049587,80.3379416282642,68.6666666666667
ab27,LDA,65.7234726688103,65.5643421998562,67.0731707317073
ab27,SVM,67.9099678456592,67.5053918044572,71.3414634146341
ab27,RF,73.3118971061093,75.1976994967649,57.3170731707317
ab27,DBN,67.2668810289389,67.0021567217829,69.5121951219512
ab28,LDA,68.9098998887653,70.5558949297495,52.1739130434783
ab28,SVM,69.6329254727475,70.8613317043372,57.1428571428571
ab28,RF,75.7508342602892,78.6194257788638,46.583850931677
ab28,DBN,69.7997775305896,71.2889431887599,54.6583850931677
