=======================================================
SUBJECT-DEPENDENT vs SUBJECT-INDEPENDENT
Ground   : levelground
Features : DBN-selected (48)
Dep CV   : Leave-One-Trial-Out per subject
Indep CV : Leave-One-Subject-Out
=======================================================

--- Overall ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            70.14            56.47       13.66
SVM            70.68            57.63       13.04
RF             72.52            53.22       19.31
DBN            73.73            62.58       11.15

--- Steady ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            74.34            62.05       12.30
SVM            73.64            63.46       10.18
RF             78.00            57.42       20.58
DBN            79.10            69.91        9.19

--- Transition ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            66.68            52.51       14.16
SVM            68.08            53.87       14.21
RF             68.33            50.50       17.84
DBN            69.51            57.16       12.34

Per-subject results:

Model: LDA
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           73.54       55.22       74.07       54.81       72.36       56.10
ab08           67.61       44.89       77.66       53.19       56.10       35.37
ab09           60.51       55.66       67.50       61.25       51.81       48.70
ab12           70.71       58.58       76.92       67.83       66.95       52.97
ab13           66.36       58.48       73.65       66.89       60.44       51.65
ab14           75.64       63.32       84.68       65.32       70.67       62.22
ab17           65.71       56.79       58.43       64.04       69.11       53.40
ab18           75.92       35.98       79.11       34.81       73.33       36.92
ab19           72.17       63.55       72.66       71.22       71.91       59.55
ab20           66.93       59.11       72.16       65.34       62.50       53.85
ab21           75.34       56.99       78.23       58.06       73.86       56.43
ab23           70.11       58.20       75.86       57.76       67.56       58.40
ab24           75.00       61.24       78.36       67.91       72.97       57.21
ab27           65.95       57.64       69.57       71.74       63.83       49.36
ab28           70.52       61.45       76.30       70.52       66.79       55.60

Model: SVM
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           70.74       57.76       73.70       58.15       64.23       56.91
ab08           70.45       51.14       73.40       52.13       67.07       50.00
ab09           61.20       52.19       66.67       53.75       54.40       50.26
ab12           70.45       59.10       71.33       68.53       69.92       53.39
ab13           63.94       57.58       69.59       68.24       59.34       48.90
ab14           78.80       67.05       83.87       72.58       76.00       64.00
ab17           67.14       58.21       61.80       64.04       69.63       55.50
ab18           77.62       44.48       81.01       44.94       74.87       44.10
ab19           71.67       64.78       74.10       71.94       70.41       61.05
ab20           65.62       61.46       69.89       68.75       62.02       55.29
ab21           73.15       54.52       76.61       58.87       71.37       52.28
ab23           71.96       56.88       76.72       60.34       69.85       55.34
ab24           74.44       62.08       77.61       70.90       72.52       56.76
ab27           69.71       54.69       70.29       68.84       69.36       46.38
ab28           73.24       62.59       78.03       69.94       70.15       57.84

Model: RF
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           73.79       51.15       75.19       50.37       70.73       52.85
ab08           65.34       38.07       73.40       41.49       56.10       34.15
ab09           62.82       44.11       71.25       45.00       52.33       43.01
ab12           68.07       57.26       74.83       61.54       63.98       54.66
ab13           68.79       52.12       72.97       58.78       65.38       46.70
ab14           79.37       57.59       87.10       58.87       75.11       56.89
ab17           70.36       58.57       73.03       64.04       69.11       56.02
ab18           81.59       54.96       85.44       59.49       78.46       51.28
ab19           74.14       62.07       79.14       69.78       71.54       58.05
ab20           68.23       60.16       77.27       66.48       60.58       54.81
ab21           71.23       57.53       73.39       62.10       70.12       55.19
ab23           76.19       42.06       85.34       45.69       72.14       40.46
ab24           79.78       65.45       83.58       70.90       77.48       62.16
ab27           72.65       40.48       75.36       44.93       71.06       37.87
ab28           75.51       56.69       82.66       61.85       70.90       53.36

Model: DBN
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           77.61       62.85       79.63       65.56       73.17       56.91
ab08           72.16       62.50       82.98       72.34       59.76       51.22
ab09           65.59       59.58       71.25       65.00       58.55       52.85
ab12           74.41       61.48       83.92       73.43       68.64       54.24
ab13           71.21       57.88       77.70       66.89       65.93       50.55
ab14           78.80       73.07       87.10       80.65       74.22       68.89
ab17           71.43       56.79       67.42       64.04       73.30       53.40
ab18           79.04       62.89       84.18       69.62       74.87       57.44
ab19           74.14       63.55       76.26       71.22       73.03       59.55
ab20           71.09       64.32       76.70       69.32       66.35       60.10
ab21           75.34       64.93       80.65       69.35       72.61       62.66
ab23           73.02       65.08       81.03       67.24       69.47       64.12
ab24           78.65       66.29       81.34       74.63       77.03       61.26
ab27           72.12       57.91       78.26       71.74       68.51       49.79
ab28           71.43       59.64       78.03       67.63       67.16       54.48

