=======================================================
SUBJECT-DEPENDENT vs SUBJECT-INDEPENDENT
Ground   : ramp
Features : DBN-selected (70)
Dep CV   : Leave-One-Trial-Out per subject
Indep CV : Leave-One-Subject-Out
=======================================================

--- Overall ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            86.50            66.86       19.64
SVM            86.57            66.53       20.04
RF             84.75            68.05       16.70
DBN            91.12            74.68       16.44

--- Steady ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            91.84            70.16       21.67
SVM            92.35            72.57       19.78
RF             93.97            77.54       16.44
DBN            94.58            78.43       16.15

--- Transition ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            85.81            66.45       19.36
SVM            85.84            65.76       20.08
RF             83.57            66.84       16.73
DBN            90.66            74.20       16.46

Per-subject results:

Model: LDA
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           85.60       57.73       94.87       51.28       84.52       58.48
ab08           88.41       67.85       93.18       68.18       87.78       67.81
ab09           84.83       55.83       92.63       62.11       83.81       55.01
ab12           84.48       75.84       93.98       93.98       83.28       73.56
ab13           85.24       66.80       90.41       76.71       84.69       65.74
ab14           86.31       62.24       90.11       62.64       85.76       62.18
ab17           86.80       68.82       91.35       66.35       86.02       69.24
ab18           90.23       78.30       93.33       82.22       89.83       77.79
ab19           83.96       69.10       86.52       73.03       83.63       68.58
ab20           88.42       71.50       91.76       78.82       87.99       70.57
ab21           85.11       59.44       86.21       63.22       84.97       58.96
ab23           90.53       76.78       97.00       78.00       89.57       76.60
ab24           84.14       67.37       95.12       74.39       82.82       66.52
ab27           82.17       68.25       86.59       73.17       81.60       67.61
ab28           91.29       57.06       94.51       48.35       90.91       58.10

Model: SVM
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           86.67       57.33       94.87       69.23       85.71       55.95
ab08           89.06       65.35       96.59       60.23       88.08       66.02
ab09           82.52       53.88       94.74       61.05       80.93       52.95
ab12           85.56       71.93       93.98       87.95       84.50       69.91
ab13           84.58       64.03       90.41       69.86       83.97       63.41
ab14           86.03       66.67       91.21       69.23       85.28       66.30
ab17           87.50       57.72       86.54       65.38       87.66       56.41
ab18           90.74       75.89       96.67       86.67       89.97       74.50
ab19           85.40       70.14       88.76       71.91       84.96       69.91
ab20           87.62       67.64       90.59       70.59       87.24       67.27
ab21           85.37       50.96       90.80       67.82       84.68       48.84
ab23           87.81       80.67       95.00       78.00       86.74       81.07
ab24           84.40       76.28       90.24       95.12       83.70       74.01
ab27           84.26       75.07       91.46       81.71       83.33       74.21
ab28           91.06       64.35       93.41       53.85       90.78       65.61

Model: RF
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           83.07       64.40       96.15       79.49       81.55       62.65
ab08           81.95       71.81       93.18       79.55       80.48       70.79
ab09           81.19       54.73       93.68       64.21       79.56       53.50
ab12           84.89       76.38       97.59       92.77       83.28       74.32
ab13           85.24       70.75       93.15       86.30       84.40       69.10
ab14           83.82       59.75       90.11       67.03       82.91       58.70
ab17           84.27       71.77       88.46       76.92       83.55       70.89
ab18           90.23       77.28       97.78       82.22       89.26       76.65
ab19           82.66       71.97       86.52       79.78       82.15       70.94
ab20           85.89       72.44       94.12       85.88       84.83       70.72
ab21           81.77       62.39       96.55       74.71       79.91       60.84
ab23           88.59       74.58       99.00       83.00       87.03       73.32
ab24           85.58       71.95       93.90       86.59       84.58       70.19
ab27           83.01       60.45       92.68       70.73       81.76       59.12
ab28           89.18       60.12       96.70       53.85       88.27       60.87

Model: DBN
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           92.67       74.27       97.44       65.38       92.11       75.30
ab08           91.04       75.36       96.59       80.68       90.31       74.66
ab09           92.11       58.86       96.84       65.26       91.50       58.02
ab12           90.82       79.76      100.00       95.18       89.67       77.81
ab13           91.44       76.55       91.78       84.93       91.40       75.66
ab14           87.55       68.19       93.41       74.73       86.71       67.25
ab17           89.04       71.21       92.31       71.15       88.49       71.22
ab18           95.43       81.60       98.89       83.33       94.99       81.38
ab19           90.22       78.36       92.13       75.28       89.97       78.76
ab20           92.54       80.03       90.59       85.88       92.79       79.28
ab21           86.65       70.22       88.51       79.31       86.42       69.08
ab23           94.55       84.05       98.00       80.00       94.04       84.65
ab24           91.61       81.26       95.12       97.56       91.19       79.30
ab27           88.72       71.03       91.46       81.71       88.36       69.65
ab28           92.35       69.41       95.60       56.04       91.96       71.01

