=======================================================
SUBJECT-DEPENDENT vs SUBJECT-INDEPENDENT
Ground   : stair
Features : DBN-selected (79)
Dep CV   : Leave-One-Trial-Out per subject
Indep CV : Leave-One-Subject-Out
=======================================================

--- Overall ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            87.23            70.10       17.12
SVM            86.49            69.69       16.80
RF             85.21            71.06       14.15
DBN            89.72            76.63       13.08

--- Steady ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            95.80            88.46        7.34
SVM            97.57            85.68       11.89
RF             98.79            95.70        3.09
DBN            96.87            94.06        2.80

--- Transition ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            86.12            67.84       18.29
SVM            85.13            67.66       17.47
RF             83.55            68.13       15.43
DBN            88.82            74.54       14.28

Per-subject results:

Model: LDA
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           90.29       75.73       97.96       97.96       89.26       72.73
ab08           87.30       71.36      100.00       80.65       85.18       69.81
ab09           86.29       69.27      100.00       92.98       84.15       65.57
ab12           89.12       74.87       96.55       86.21       88.52       73.95
ab13           80.70       72.18       88.10       95.24       79.83       69.47
ab14           92.47       64.94      100.00       79.31       91.85       63.76
ab17           85.56       70.60       86.21       93.10       85.51       68.75
ab18           88.89       74.47      100.00       89.66       87.12       72.05
ab19           84.18       77.62       97.56       97.56       82.70       75.41
ab20           88.42       71.67       95.45       95.45       87.57       68.78
ab21           84.69       65.93       97.30       72.97       83.42       65.22
ab23           87.85       65.42       96.72       81.97       86.38       62.67
ab24           92.91       70.69      100.00      100.00       91.85       66.30
ab27           82.38       53.60       92.31       66.67       81.32       52.20
ab28           87.32       73.17       88.89       97.22       87.17       70.86

Model: SVM
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           89.32       68.93      100.00       91.84       87.88       65.84
ab08           86.14       71.59      100.00       82.26       83.83       69.81
ab09           86.05       66.43      100.00       85.96       83.88       63.39
ab12           88.60       74.61      100.00       86.21       87.68       73.67
ab13           80.95       69.42       92.86       80.95       79.55       68.07
ab14           91.17       67.53      100.00       86.21       90.45       66.01
ab17           84.78       76.12       96.55      100.00       83.81       74.15
ab18           89.60       78.96      100.00       98.28       87.95       75.89
ab19           85.40       81.02       97.56       92.68       84.05       79.73
ab20           85.71       72.41       97.73       95.45       84.25       69.61
ab21           82.72       69.38       94.59       64.86       81.52       69.84
ab23           85.98       64.95       96.72       85.25       84.20       61.58
ab24           91.49       64.78       98.18      100.00       90.49       59.51
ab27           80.89       55.09       94.87       43.59       79.40       56.32
ab28           88.54       64.15       94.44       91.67       87.97       61.50

Model: RF
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           89.81       73.54      100.00      100.00       88.43       69.97
ab08           84.30       75.52      100.00       90.32       81.67       73.05
ab09           82.51       75.89      100.00       98.25       79.78       72.40
ab12           86.01       75.39      100.00       93.10       84.87       73.95
ab13           80.20       75.19       97.62       92.86       78.15       73.11
ab14           89.61       67.79      100.00       86.21       88.76       66.29
ab17           82.15       70.34       96.55      100.00       80.97       67.90
ab18           86.05       78.25      100.00       96.55       83.84       75.34
ab19           83.45       72.26       97.56       95.12       81.89       69.73
ab20           86.70       70.20      100.00      100.00       85.08       66.57
ab21           84.20       75.06      100.00       97.30       82.61       72.83
ab23           87.38       73.83      100.00       93.44       85.29       70.57
ab24           91.02       71.63       98.18      100.00       89.95       67.39
ab27           80.15       48.88       97.44       92.31       78.30       44.23
ab28           84.63       62.20       94.44      100.00       83.69       58.56

Model: DBN
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           92.96       84.71       97.96      100.00       92.29       82.64
ab08           88.68       75.29      100.00       82.26       86.79       74.12
ab09           89.83       76.83      100.00      100.00       88.25       73.22
ab12           91.45       80.31       96.55       93.10       91.04       79.27
ab13           84.71       75.94       95.24       97.62       83.47       73.39
ab14           93.25       71.43      100.00       89.66       92.70       69.94
ab17           88.98       82.41       89.66      100.00       88.92       80.97
ab18           91.96       76.36      100.00       91.38       90.68       73.97
ab19           86.13       84.67       97.56       97.56       84.86       83.24
ab20           92.36       79.06       95.45       97.73       91.99       76.80
ab21           84.94       75.80       97.30       89.19       83.70       74.46
ab23           91.36       71.50       96.72       85.25       90.46       69.21
ab24           95.74       79.43      100.00      100.00       95.11       76.36
ab27           84.86       65.26       94.87       87.18       83.79       62.91
ab28           88.54       70.49       91.67      100.00       88.24       67.65

