=======================================================
SUBJECT-DEPENDENT vs SUBJECT-INDEPENDENT
Ground   : levelground
Features : DBN-selected (48)
Dep CV   : Leave-One-Trial-Out per subject
Indep CV : Leave-One-Subject-Out
=======================================================

--- Overall ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            70.14            56.47       13.66
SVM            70.68            57.63       13.04
RF             72.64            53.44       19.19
DBN            73.73            62.58       11.15

--- Steady ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            70.68            58.22       12.47
SVM            71.92            59.43       12.49
RF             75.43            56.93       18.50
DBN            74.24            65.27        8.97

--- Transition ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            63.48            35.59       27.89
SVM            55.86            36.17       19.69
RF             39.59            13.02       26.57
DBN            67.42            31.10       36.32

Per-subject results:

Model: LDA
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           73.54       55.22       73.83       55.37       70.00       53.33
ab08           67.61       44.89       69.57       46.58       46.67       26.67
ab09           60.51       55.66       62.53       58.06       33.33       23.33
ab12           70.71       58.58       71.55       63.79       61.29        0.00
ab13           66.36       58.48       67.22       63.58       57.14        3.57
ab14           75.64       63.32       75.24       62.38       80.00       73.33
ab17           65.71       56.79       65.12       61.63       72.73        0.00
ab18           75.92       35.98       76.09       36.96       74.19       25.81
ab19           72.17       63.55       74.20       68.62       46.67        0.00
ab20           66.93       59.11       67.70       62.08       57.14       21.43
ab21           75.34       56.99       74.11       54.17       89.66       89.66
ab23           70.11       58.20       70.69       55.75       63.33       86.67
ab24           75.00       61.24       75.46       60.43       70.00       70.00
ab27           65.95       57.64       66.18       60.64       63.33       23.33
ab28           70.52       61.45       70.80       63.26       66.67       36.67

Model: SVM
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           70.74       57.76       71.63       58.68       60.00       46.67
ab08           70.45       51.14       72.67       50.93       46.67       53.33
ab09           61.20       52.19       63.52       53.60       30.00       33.33
ab12           70.45       59.10       71.84       64.08       54.84        3.23
ab13           63.94       57.58       66.23       62.58       39.29        3.57
ab14           78.80       67.05       78.68       65.20       80.00       86.67
ab17           67.14       58.21       68.22       63.18       54.55        0.00
ab18           77.62       44.48       77.95       45.96       74.19       29.03
ab19           71.67       64.78       73.94       69.95       43.33        0.00
ab20           65.62       61.46       67.98       64.61       35.71       21.43
ab21           73.15       54.52       72.62       54.17       79.31       58.62
ab23           71.96       56.88       72.99       55.75       60.00       70.00
ab24           74.44       62.08       76.38       61.35       53.33       70.00
ab27           69.71       54.69       69.97       57.14       66.67       26.67
ab28           73.24       62.59       74.21       64.23       60.00       40.00

Model: RF
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           74.30       51.91       76.03       55.92       53.33        3.33
ab08           67.05       45.45       71.43       47.83       20.00       20.00
ab09           63.51       37.18       67.49       39.70       10.00        3.33
ab12           70.98       57.26       73.85       61.78       38.71        6.45
ab13           67.58       50.61       71.85       54.97       21.43        3.57
ab14           78.51       58.17       79.31       63.01       70.00        6.67
ab17           71.07       59.64       74.03       64.73       36.36        0.00
ab18           81.02       57.51       82.61       61.49       64.52       16.13
ab19           72.91       63.05       77.13       67.82       20.00        3.33
ab20           67.71       59.90       72.19       64.04       10.71        7.14
ab21           69.86       51.23       70.24       50.30       65.52       62.07
ab23           77.51       39.68       80.17       40.52       46.67       30.00
ab24           80.62       66.57       82.52       72.39       60.00        3.33
ab27           73.73       47.72       76.68       51.02       40.00       10.00
ab28           73.24       55.78       75.91       58.39       36.67       20.00

Model: DBN
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           77.61       62.85       78.51       64.46       66.67       43.33
ab08           72.16       62.50       74.53       66.46       46.67       20.00
ab09           65.59       59.58       67.25       62.03       43.33       26.67
ab12           74.41       61.48       75.00       66.09       67.74        9.68
ab13           71.21       57.88       71.85       63.25       64.29        0.00
ab14           78.80       73.07       78.06       73.98       86.67       63.33
ab17           71.43       56.79       71.71       61.24       68.18        4.55
ab18           79.04       62.89       78.88       64.91       80.65       41.94
ab19           74.14       63.55       76.06       68.35       50.00        3.33
ab20           71.09       64.32       71.63       67.13       64.29       28.57
ab21           75.34       64.93       74.40       65.77       86.21       55.17
ab23           73.02       65.08       73.28       63.51       70.00       83.33
ab24           78.65       66.29       78.83       67.48       76.67       53.33
ab27           72.12       57.91       70.85       62.10       86.67       10.00
ab28           71.43       59.64       72.75       62.29       53.33       23.33

