=======================================================
SUBJECT-DEPENDENT vs SUBJECT-INDEPENDENT
Ground   : ramp
Features : DBN-selected (70)
Dep CV   : Leave-One-Trial-Out per subject
Indep CV : Leave-One-Subject-Out
=======================================================

--- Overall ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            86.50            66.86       19.64
SVM            86.57            66.53       20.04
RF             84.70            68.58       16.12
DBN            91.12            74.68       16.44

--- Steady ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            90.56            75.00       15.56
SVM            91.75            75.98       15.77
RF             95.24            81.63       13.61
DBN            95.08            85.29        9.79

--- Transition ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            75.57            45.34       30.23
SVM            72.62            41.57       31.05
RF             56.43            33.88       22.54
DBN            80.47            46.70       33.76

Per-subject results:

Model: LDA
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           85.60       57.73       90.16       65.03       73.13       37.81
ab08           88.41       67.85       91.95       66.19       78.50       72.50
ab09           84.83       55.83       91.61       70.00       64.22       12.75
ab12           84.48       75.84       88.20       90.64       74.88       37.68
ab13           85.24       66.80       89.96       78.28       72.99       36.97
ab14           86.31       62.24       90.04       68.20       76.62       46.77
ab17           86.80       68.82       90.45       78.86       78.64       46.36
ab18           90.23       78.30       92.86       82.65       82.50       65.50
ab19           83.96       69.10       87.90       83.10       73.17       30.73
ab20           88.42       71.50       91.62       73.41       79.70       66.34
ab21           85.11       59.44       89.58       67.49       73.24       38.03
ab23           90.53       76.78       93.17       74.61       83.00       83.00
ab24           84.14       67.37       89.01       81.74       70.35       26.63
ab27           82.17       68.25       87.32       83.30       70.59       34.39
ab28           91.29       57.06       94.59       61.46       81.98       44.59

Model: SVM
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           86.67       57.33       91.07       62.11       74.63       44.28
ab08           89.06       65.35       93.02       64.40       78.00       68.00
ab09           82.52       53.88       90.97       66.29       56.86       16.18
ab12           85.56       71.93       90.07       87.45       73.91       31.88
ab13           84.58       64.03       90.15       75.73       70.14       33.65
ab14           86.03       66.67       91.95       73.95       70.65       47.76
ab17           87.50       57.72       92.07       72.36       77.27       25.00
ab18           90.74       75.89       94.73       78.57       79.00       68.00
ab19           85.40       70.14       91.28       85.77       69.27       27.32
ab20           87.62       67.64       91.99       74.13       75.74       50.00
ab21           85.37       50.96       90.46       59.89       71.83       27.23
ab23           87.81       80.67       91.77       83.54       76.50       72.50
ab24           84.40       76.28       89.89       92.73       68.84       29.65
ab27           84.26       75.07       91.35       90.54       68.33       40.27
ab28           91.06       64.35       95.54       72.29       78.38       41.89

Model: RF
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           82.67       65.60       93.44       77.96       53.23       31.84
ab08           82.87       71.41       94.99       80.32       49.00       46.50
ab09           81.19       56.31       95.00       70.48       39.22       13.24
ab12           85.83       76.52       96.25       93.26       58.94       33.33
ab13           83.79       71.67       93.98       88.87       57.35       27.01
ab14           82.57       62.52       93.87       68.01       53.23       48.26
ab17           84.97       70.08       95.33       88.82       61.82       28.18
ab18           89.47       77.66       96.43       86.22       69.00       52.50
ab19           83.44       70.14       94.13       87.54       54.15       22.44
ab20           85.89       74.03       93.81       86.89       64.36       39.11
ab21           82.54       67.39       96.29       80.04       46.01       33.80
ab23           89.11       77.95       95.62       88.27       70.50       48.50
ab24           85.58       71.30       95.92       82.27       56.28       40.20
ab27           82.73       56.41       95.98       73.84       52.94       17.19
ab28           87.88       59.76       97.61       71.66       60.36       26.13

Model: DBN
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           92.67       74.27       96.54       84.34       82.09       46.77
ab08           91.04       75.36       94.99       75.67       80.00       74.50
ab09           92.11       58.86       97.26       72.90       76.47       16.18
ab12           90.82       79.76       95.51       97.19       78.74       34.78
ab13           91.44       76.55       95.44       89.23       81.04       43.60
ab14           87.55       68.19       91.38       80.84       77.61       35.32
ab17           89.04       71.21       92.28       86.18       81.82       37.73
ab18           95.43       81.60       98.30       88.78       87.00       60.50
ab19           90.22       78.36       94.48       87.37       78.54       53.66
ab20           92.54       80.03       95.26       85.43       85.15       65.35
ab21           86.65       70.22       91.34       81.80       74.18       39.44
ab23           94.55       84.05       96.67       85.81       88.50       79.00
ab24           91.61       81.26       96.45       95.74       77.89       40.20
ab27           88.72       71.03       93.76       90.14       77.38       28.05
ab28           92.35       69.41       96.50       77.87       80.63       45.50

