=======================================================
SUBJECT-DEPENDENT vs SUBJECT-INDEPENDENT
Ground   : stair
Features : DBN-selected (79)
Dep CV   : Leave-One-Trial-Out per subject
Indep CV : Leave-One-Subject-Out
=======================================================

--- Overall ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            87.23            70.10       17.12
SVM            86.49            69.69       16.80
RF             85.01            71.34       13.67
DBN            89.72            76.63       13.08

--- Steady ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            91.02            76.55       14.47
SVM            90.88            76.40       14.47
RF             92.44            81.80       10.64
DBN            92.99            83.87        9.12

--- Transition ACCURACY ---
Model      Dependent      Independent        Drop
--------------------------------------------------
LDA            79.62            58.20       21.42
SVM            77.69            57.06       20.63
RF             70.26            50.75       19.51
DBN            83.15            63.32       19.83

Per-subject results:

Model: LDA
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           90.29       75.73       93.24       92.88       83.97       38.93
ab08           87.30       71.36       91.69       70.76       77.27       72.73
ab09           86.29       69.27       90.78       72.35       76.15       62.31
ab12           89.12       74.87       94.29       90.20       80.14       48.23
ab13           80.70       72.18       87.45       68.06       67.65       80.15
ab14           92.47       64.94       94.90       57.65       87.69       79.23
ab17           85.56       70.60       88.98       87.71       80.00       42.76
ab18           88.89       74.47       92.49       71.67       80.77       80.77
ab19           84.18       77.62       86.69       82.73       78.95       66.92
ab20           88.42       71.67       91.91       93.75       81.34       26.87
ab21           84.69       65.93       89.47       71.80       75.54       54.68
ab23           87.85       65.42       92.59       59.60       77.10       78.63
ab24           92.91       70.69       94.83       74.48       88.72       62.41
ab27           82.38       53.60       85.27       69.77       77.24       24.83
ab28           87.32       73.17       90.66       84.82       81.70       53.59

Model: SVM
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           89.32       68.93       93.24       76.16       80.92       53.44
ab08           86.14       71.59       90.03       76.08       77.27       61.36
ab09           86.05       66.43       92.49       66.21       71.54       66.92
ab12           88.60       74.61       93.88       88.57       79.43       50.35
ab13           80.95       69.42       89.73       66.16       63.97       75.74
ab14           91.17       67.53       93.33       70.98       86.92       60.77
ab17           84.78       76.12       88.56       94.49       78.62       46.21
ab18           89.60       78.96       94.88       81.23       77.69       73.85
ab19           85.40       81.02       89.57       89.21       76.69       63.91
ab20           85.71       72.41       90.81       89.71       75.37       37.31
ab21           82.72       69.38       86.47       82.33       75.54       44.60
ab23           85.98       64.95       88.55       63.30       80.15       68.70
ab24           91.49       64.78       94.14       67.24       85.71       59.40
ab27           80.89       55.09       84.88       59.30       73.79       47.59
ab28           88.54       64.15       92.61       75.10       81.70       45.75

Model: RF
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           90.05       70.39       95.37       81.85       78.63       45.80
ab08           82.45       74.60       90.70       89.70       63.64       40.15
ab09           83.45       72.81       91.47       88.05       65.38       38.46
ab12           84.20       76.42       91.02       86.12       72.34       59.57
ab13           79.45       74.19       89.35       80.61       60.29       61.76
ab14           88.57       69.09       93.33       73.33       79.23       60.77
ab17           81.10       70.08       91.10       93.22       64.83       32.41
ab18           86.29       78.01       94.88       80.20       66.92       73.08
ab19           82.48       78.83       88.49       92.45       69.92       50.38
ab20           85.96       68.23       94.12       84.93       69.40       34.33
ab21           83.95       74.32       93.23       79.32       66.19       64.75
ab23           89.49       75.23       94.61       77.10       77.86       70.99
ab24           90.78       71.39       94.48       77.93       82.71       57.14
ab27           79.40       49.63       89.15       65.50       62.07       21.38
ab28           87.56       66.83       95.33       76.65       74.51       50.33

Model: DBN
Subject       Dep-Ov    Indep-Ov      Dep-St    Indep-St      Dep-Tr    Indep-Tr
---------------------------------------------------------------------------
ab07           92.96       84.71       96.09       95.37       86.26       61.83
ab08           88.68       75.29       92.69       73.09       79.55       80.30
ab09           89.83       76.83       93.17       80.55       82.31       68.46
ab12           91.45       80.31       94.69       95.10       85.82       54.61
ab13           84.71       75.94       91.25       77.57       72.06       72.79
ab14           93.25       71.43       95.69       69.80       88.46       74.62
ab17           88.98       82.41       91.95       97.46       84.14       57.93
ab18           91.96       76.36       95.90       73.38       83.08       83.08
ab19           86.13       84.67       88.49       88.49       81.20       76.69
ab20           92.36       79.06       95.22       96.32       86.57       44.03
ab21           84.94       75.80       90.23       88.72       74.82       51.08
ab23           91.36       71.50       93.94       69.36       85.50       76.34
ab24           95.74       79.43       97.24       82.76       92.48       72.18
ab27           84.86       65.26       86.82       87.60       81.38       25.52
ab28           88.54       70.49       91.44       82.49       83.66       50.33

